issue_key,existence,property,executive,summary,description,issue_type,status,resolution,priority,labels,components,created,updated,resolved,votes,watchers,parent_key,comment_count,attachment_count
TIKA-3521,True,False,False,Move checkActive out of fetchemitworkers within AsyncProcessor,"The heartbeat check in AsyncProcessor is carried out by the parse threads.  However, this check should continue through the life of the object.  The parse threads may complete, but the emitter threads may still be active.  Let's move this to a separate thread.",Task,Resolved,Fixed,Trivial,,,2021-08-11T16:04:09.820+0000,2021-08-17T13:30:19.114+0000,2021-08-11T17:09:22.860+0000,0,2,,1,0
TIKA-3610,True,True,False,Emit errors to a specific emitter,"Instead of emitting errors in the logs, we should emit them using an error emitter instead.

Then we can have all the flexibility we want to emit our errors to a logger, to a filesystem, to whatever implementation.

For example:
{code:java}
<errorEmitterName>fse</errorEmitterName> {code}
 ",New Feature,Open,,Minor,,tika-pipes,2021-12-02T17:52:01.447+0000,2021-12-15T14:39:10.121+0000,,0,2,,2,0
TIKA-3601,False,True,True,Update JSoup to fix CVE-2021-37714,"This task is to update JSoup to 1.14.3 to pick up a fix for a CVE:

https://nvd.nist.gov/vuln/detail/CVE-2021-37714",Improvement,Closed,Fixed,Major,,,2021-11-25T08:00:36.684+0000,2021-12-24T07:27:13.581+0000,2021-12-24T07:27:09.445+0000,0,4,,7,0
TIKA-3584,True,False,False,tika async should keep going even if unable to restart a forked process,"I initially set up async to crash if a client couldn't start/restart a forked process after {{startupTimeoutMillis}}.  I'm seeing now that if I peg a machine (e.g. configure too many forked processes or send evil documents), there are times when the forked process cannot restart even within a fairly large window.

I propose that we sleep some configurable amount if there's a timeout during the start/restart.",Task,Open,,Major,,,2021-10-26T13:39:45.003+0000,2021-12-13T17:04:24.085+0000,,0,2,,2,0
TIKA-3558,False,True,True,vulnerability detected in vorbis-tika-java,"we recently had a user report that a security scan on tika-app-1.25 discovered a vulernability in vorbis-tika-java. specifically:

 

[https://nvd.nist.gov/vuln/detail/CVE-2017-6888]

(detected on tika-app-1.25.jar/META-INF/maven/org.gagravarr/vorbis-java-tika/pom.xml)

 

i checked 1.27 and the org.gagravarr classes have not been updated (they all date from 2016).  has this vulnerability been addressed? or is it a false positive? thanks.

 ",Bug,Open,,Major,,,2021-09-21T14:44:04.488+0000,2021-09-21T14:56:39.547+0000,,0,4,,1,0
TIKA-3553,False,True,False,Improve robustness of httpfetcher,"In practice, the httpclient library can return nulls in (to me) unexpected places.  We should add more null checks.  

Also, we should try to back off and retry with a disallow compression if there was a length exception in making a request.

Finally, users should be able to configure the UserAgent sent in the header.",Task,Resolved,Fixed,Major,,,2021-09-14T14:08:58.420+0000,2021-12-16T22:29:56.184+0000,2021-09-14T14:40:18.065+0000,0,2,,1,0
TIKA-3527,True,False,True,Add simple URLFetcher to tika-core,"In 1.x, users could send a URL including a file url to tika-server and have tika-server fetch the bytes.  In 2.x, we created the tika-pipes modules and included  a file fetcher in tika-core and put an http-fetcher in its own module because of its dependency on httpclient.

To smooth the transition to 2.x, it might be useful to add a URLFetcher that uses the built-in basic Java URL.getConnection() functionality.  I'd want to prohibit the file protocol because of the history with that as a vulnerability.  If folks want to fetch files, they have to explicitly choose a different fetcher and specify a base path.",Task,Resolved,Fixed,Minor,,,2021-08-17T13:04:01.417+0000,2021-08-17T17:52:32.544+0000,2021-08-17T16:25:51.440+0000,0,2,,1,0
TIKA-3491,False,True,True,Upgrade version for TPS: commons-compress to 1.21 in tika-bundle,"tika-bundle-1.27 uses commons-compress-1.20.

There are following vulnerabilities reported in commons-compress-1.20 as per National Vulnerability Database:
 1. [CVE-2021-35515|https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-35515] 
 2. [CVE-2021-35516|https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-35516] 
 3. [CVE-2021-35517|https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-35517]
 4. [CVE-2021-36090|https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-36090]

commons-compress-1.21 is non-vulnerable version. Please consider upgrading to it in the next release.",Bug,Open,,Major,upgrade,,2021-07-22T07:33:14.150+0000,2021-07-22T07:33:14.150+0000,,0,2,,0,0
TIKA-3488,False,True,True,Security issue XXE in TIKA due to JDOM,"Apache TIKA 1.35 is vulnerable due to dependency on JDOM 2.0.6. Black Duck Hub has reported this vulnerability CVE-2021-33813 with more detail on the following page. 

[https://nvd.nist.gov/vuln/detail/CVE-2021-33813#range-6782705]

Although the following issue is entered, it is not yet fixed and there is no timeline given.

https://github.com/hunterhacker/jdom/issues/189

There are some workaround discussed on this issue. Can this be fixed in TIKA in the meanwhile?",Task,Resolved,Fixed,Major,,tika-server,2021-07-21T11:18:55.147+0000,2021-12-30T10:45:50.770+0000,2021-12-30T04:31:47.097+0000,1,9,,13,0
TIKA-3448,False,True,True,Upgrade version for TPS: pdfbox to 2.0.24,"Latest tika-bundle uses pdfbox version 2.0.23.

As per National Vulnerability Database, pdfbox-2.0.23 and earlier have following vulnerabilities:
 [CVE-2021-31811|https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-31811]: In Apache PDFBox, a carefully crafted PDF file can trigger an OutOfMemory-Exception while loading the file. This issue affects Apache PDFBox version 2.0.23 and prior 2.0.x versions.
 [CVE-2021-31812|https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-31812]: In Apache PDFBox, a carefully crafted PDF file can trigger an infinite loop while loading the file. This issue affects Apache PDFBox version 2.0.23 and prior 2.0.x versions.

pdfbox-2.0.24 is non-vulnerable version available right now, released on 10th June. Please consider upgrading to it in upcoming release of tika-bundle.",Bug,Resolved,Fixed,Major,,,2021-06-17T06:04:39.263+0000,2021-06-17T11:05:16.347+0000,2021-06-17T11:05:16.267+0000,0,1,,1,0
